id,member_id,start_date,end_date,status,equifax_rejected_at,braintree_subscription_id,braintree_plan_id,created_at,updated_at,deleted_at,payment_method_id,error_codes,error_messages,equifax_deleted_at,price,error_data,equifax_accepted_at,braintree_discount_id,discount_amount,discount_description,discount_billing_cycles,billing_frequency_in_months,is_mini_service_bundle
1970,2317,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1971,2327,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1972,2339,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1973,2351,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1974,2365,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1975,2371,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1976,2375,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1977,2415,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1978,2417,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1979,2422,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1980,2429,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
1981,2469,"2018-04-25 17:03:46",,active,,,id_protect,"2018-04-25 17:03:46","2018-04-25 17:03:46",,,000,,,8.99,,"2018-04-25 09:49:13",,,,,1,1
